ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
1VGZE,4000.0,150.0,,7.0,10.04(p1),30.0,,,11000.0,15.0,,,1920.0,0.0,1.0,2.0
BCWTT,2000.0,50.0,,25.0,7.29(p1),,,18.0,10000.0,4.0,1.0,3.0,1919.0,0.0,1.0,2.0
5ZJUZ,2000.0,85.0,,,4.0,2.0,2.0,20.0,8000.0,6.0,3.0,3.0,1919.0,0.0,1.0,2.0
DXSZ0,3000.0,125.0,,20.0,8.0,5.0,3.0,20.0,80000.0,9.0,1.0,8.0,1919.0,0.0,1.0,2.0
7G881,,,,,8.31(p1),,,,,,,,,1.0,0.0,
S0FZ4,,,,,8.31(p1),,,,,,,,,1.0,0.0,
Q56VB,,,,,8.31(p1),,,,,,,,,1.0,0.0,
0OVFU,,,,,8.31(p1),,,,,,,,,1.0,0.0,
SB6NA,,,,,8.31(p1),,,,,,,,,1.0,0.0,
HRX01,2500.0,150.0,,20.0,11.0,,,,10000.0,15.0,,,1920.0,0.0,1.0,2.0
5271F,,150.0,,10.0,12.0,,,,15000.0,10.0,,,1919.0,0.0,1.0,2.0
AQDWR,,,,,12.98(p1),14.0,,60.0,16600.0,44.0,2.0,42.0,1919.0,0.0,1.0,2.0
ZXQ8C,4000.0,200.0,,,11.39(p1),,,40.0,17200.0,33.0,4.0,29.0,1920.0,0.0,1.0,2.0
QOGUZ,,70.0,,,18.0,8.0,10.0,16.0,10000.0,10.0,,,1918.0,0.0,1.0,2.0
SYBFK,,,,,8.31(p1),,,,,,,,,0.0,0.0,
I2IGV,,,,,8.31(p1),,,,,,,,,0.0,1.0,
HADZ3,,,,,8.31(p1),,,,,,,,,1.0,0.0,
2UF2I,,,,,8.31(p1),,,,,,,,,1.0,0.0,
CF7C2,,,,,8.31(p1),,,,,,,,,0.0,0.0,
6ODH3,,,,,8.31(p1),,,,,,,,,0.0,0.0,
VIX2M,,,,,8.31(p1),,,,,,,,,0.0,0.0,
2X0JE,,,,,8.31(p1),,,,,,,,,0.0,0.0,
I4LAA,,,,,8.31(p1),,,,,,,,,0.0,0.0,
8DRFV,,,,,8.31(p1),,,,,,,,,0.0,0.0,
9ZPGW,,,,,8.31(p1),,,,,,,,,0.0,0.0,
KEOM1,,,,,8.31(p1),,,,,,,,,0.0,0.0,
A29LE,,,,,8.31(p1),,,,,,,,,0.0,0.0,
VQV6G,,,,,8.31(p1),,,,,,,,,0.0,0.0,
02NS4,,,,,8.31(p1),,,81.0,,,,,1923.0,1.0,0.0,
5MBXZ,,,,,8.31(p1),,,,,,,,,1.0,0.0,
H6812,6000.0,216.67,,,6.0,2.0,3.0,45.0,21000.0,44.0,4.0,40.0,1925.0,0.0,1.0,3.0
Y9LV6,,,,,10.0,,,,,,,,,0.0,0.0,
9K67X,,,,,8.31(p1),,,,,,,,,0.0,0.0,
AY656,,,,,8.31(p1),,,,,,,,,0.0,0.0,
YGHFT,800.0,50.0,,,2.0,,,,1200.0,,,,1912.0,1.0,0.0,
KHACU,,,,,8.31(p1),,,,,,,,,1.0,0.0,
7V3PY,,,,,8.31(p1),,,,,1.0,,,,1.0,0.0,
WRL0K,,,,,8.31(p1),,,,,,,,,1.0,0.0,
OOJ59,,,,,8.31(p1),,,,,,,,,1.0,0.0,
TIAVT,,,,,8.31(p1),,,,,,,,,1.0,0.0,
509S,,,,,8.31(p1),,,,,,,,,1.0,0.0,
PZJ87,1750.0,225.0,,5.0,5.0,2.0,3.0,24.0,10000.0,7.0,3.0,4.0,1917.0,0.0,1.0,3.0
Y3DN3,,,,,8.31(p1),,,,,,,,,0.0,0.0,
RM3X4,,,,,8.31(p1),,,,,,,,,0.0,0.0,
U1ZOX,,,,,8.31(p1),,,,,,,,,0.0,0.0,
DX2JL,,,,,8.31(p1),,,,,,,,,0.0,0.0,
JFS8M,,,,,8.31(p1),,,,,,,,,0.0,0.0,
OQW2D,,,,,7.29(p1),,,25.0,10400.0,,,,1922.0,1.0,0.0,
ULS89,,,,,8.31(p1),,,,,,,,,1.0,0.0,
A4S77,,,,,8.31(p1),,,,,,,,1922.0,1.0,0.0,
YFXJG,,,,,8.31(p1),,,,,,,,,0.0,0.0,
FVNMX,,,,,8.31(p1),,,,,,,,,0.0,0.0,
FPYA0,,,,,8.31(p1),,,,,,,,,0.0,0.0,
3PFZG,,,,,8.31(p1),,,,,,,,,0.0,0.0,
1XPJC,,,,,8.31(p1),,,,,,,,,0.0,0.0,
9WCD7,,,,,8.31(p1),,,,,,,,,0.0,0.0,
